ID,serial number,class,function,function first,function end,code,number,Taisho,koreana,folio code,author,Indian translator,Tibetan translator,calibration,Chinese translation,Sanskrit title,Title romanisation,Tibetan title,Dazheng holding,Barry holding,Nanjo,Other,PDF,WEB_PDF,WEB_HTML,Remarks
3596,4132,怛特羅部,通帙第179Mu,179,179,3596,3596,,,220a2-224a7,,,Grags-pa rgyal-mtshan,,五守護儀軌,Pañcarakṣāvidhi,Bsruṅ-ba lṅaḥi cho-ga,བསྲུང་བ་ལྔའི་ཆོ་ག།,,,,,,,,
3597,4133,怛特羅部,通帙第179Mu,179,179,3597,3597,,,224a7-224b4,,,Grags-pa rgyal-mtshan,,金剛鐵索成就法,Vajraśṛṅkhalāsādhana,Rdo-rje lcags-sgrog-gi sgrub-thabs,རྡོ་རྗེ་ལྕགས་སྒྲོག་གི་སྒྲུབ་ཐབས།,,,,,,,,
3598,4134,怛特羅部,通帙第179Mu,179,179,3598,3598,,,224b4-224b7,,,Grags-pa rgyal-mtshan,,金剛鐵索成就法,Vajraśṛṅkhalāsādhana,Rdo-rje lcags sgrog-gi sgrub-thabs,རྡོ་རྗེ་ལྕགས་སྒྲོག་གི་སྒྲུབ་ཐབས།,,,,,,,,
3599,4135,怛特羅部,通帙第179Mu,179,179,3599,3599,,,224b7-225a6,,,Grags-pa rgyal-mtshan,,金剛鐵索成就法儀軌,Vajraśṛṅkhalāsādhanavidhi,Rdo-rje lcags sgrog-gi sgrub-thabs-kyi cho-ga,རྡོ་རྗེ་ལྕགས་སྒྲོག་གི་སྒྲུབ་ཐབས་ཀྱི་ཆོ་ག།,,,,,,,,
3600,4136,怛特羅部,通帙第179Mu,179,179,3600,3600,,,225a7-226b1,Chos-kyi ḥbyuṅ-gnas blo gros,,Grags-pa rgyal-mtshan,,幢頂瓔珞成就法,Dhavajāgrakeyūrāsādhana,Rgyal-mtshan-gyi rtse-moḥi dpuṅ-rgyan-gyi sgrub-thabs,རྒྱལ་མཚན་གྱི་རྩེ་མོའི་དཔུང་རྒྱན་གྱི་སྒྲུབ་ཐབས།,,,,,,,,
3601,4138,怛特羅部,通帙第179Mu,179,179,3601,3601,,,226b1-227a7,,,Grags-pa rgyal-mtshan,,聖頂髻勝母成就法,Ārya-uṣṇīṣavijayāsādhana,Ḥphags-ma gtsug-tor rnam-par rgyal-maḥi sgrub-thabs,འཕགས་མ་གཙུག་ཏོར་རྣམ་པར་རྒྱལ་མའི་སྒྲུབ་ཐབས།,,,,,,,,
3602,4139,怛特羅部,通帙第179Mu,179,179,3602,3602,,,227b1-228a7,,,Grags-pa rgyal-mtshan,,聖髻勝母成就法,Uṣṇīṣavijayāsādhana,Gtsug-tor rnam-par rgyal-maḥi sgrub-thabs,གཙུག་ཏོར་རྣམ་པར་རྒྱལ་མའི་སྒྲུབ་ཐབས།,,,,,,,,
3603,4140,怛特羅部,通帙第179Mu,179,179,3603,3603,,,228b1-228b6,,,Grags-pa rgyal-mtshan,,持世天女成就法,Devīvasudhārāsādhana,Lha-mo nor-rgyun-maḥi sgrub-thabs,ལྷ་མོ་ནོར་རྒྱུན་མའི་སྒྲུབ་ཐབས།,,,,,,,,
3604,4141,怛特羅部,通帙第179Mu,179,179,3604,3604,,,228b6-229a2,,,Grags-pa rgyal-mtshan,,持世母成就法,Vasudhārāsādhana,Nor-rgyun-maḥi sgrub-thabs,ནོར་རྒྱུན་མའི་སྒྲུབ་ཐབས།,,,,,,,,
3605,4142,怛特羅部,通帙第179Mu,179,179,3605,3605,,,229a2-229a6,,,Grags-pa rgyal-mtshan,,持世母成就法,Vasudhārāsādhana,Nor-rgyun-maḥi sgrub-thabs,ནོར་རྒྱུན་མའི་སྒྲུབ་ཐབས།,,,,,,,,
3606,4143,怛特羅部,通帙第179Mu,179,179,3606,3606,,,229a6-229b2,,,Grags-pa rgyal-mtshan,,持世母陀羅尼優波提舍,Vasudhārādhāraṇyupadeśa,Nor-rgyun-maḥi gzuṅs-kyi man-ṅag,ནོར་རྒྱུན་མའི་གཟུངས་ཀྱི་མན་ངག།,,,,,,,,
3607,4144,怛特羅部,通帙第179Mu,179,179,3607,3607,,,229b2-230b5,Gñis med rdo-rje,,Grags-pa rgyal-mtshan,,金剛牝豚成就法,Vajravārāhīsādhana,Rdo-rje phag-moḥi sgrub-thabs,རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས།,,,,,,,,
3608,4145,怛特羅部,通帙第179Mu,179,179,3608,3608,,,230b5-233b4,,,Grags-pa rgyal-mtshan,,智慧光成就法儀軌,Prajñālokasādhanavidhi,Śes-rab-kyi snaṅ-ba sgrub-paḥi cho-ga,ཤེས་རབ་ཀྱི་སྣང་བ་སྒྲུབ་པའི་ཆོ་ག།,,,,,,,,
3609,4146,怛特羅部,通帙第179Mu,179,179,3609,3609,,,233b4-234b1,,,Grags-pa rgyal-mtshan,,金剛牝豚制御儀軌,Vajravārāhīvaśyavidhi,Rdo-rje phag-moḥi dbaṅ-du-bya-baḥi cho-ga,རྡོ་རྗེ་ཕག་མོའི་དབང་དུ་བྱ་བའི་ཆོ་ག།,,,,,,,,
3610,4147,怛特羅部,通帙第179Mu,179,179,3610,3610,,,234b1-236a3,,,Grags-pa rgyal-mtshan,,吉祥金剛牝豚儀軌一切義成就法,Śrī-vajravārāhīkalpasarvārthasādhana,Dpal rdo-rje phag-moḥi rtog-pa don thams-cad sgrub-pa,དཔལ་རྡོ་རྗེ་ཕག་མོའི་རྟོག་པ་དོན་ཐམས་ཅད་སྒྲུབ་པ།,,,,,,,,
3611,4148,怛特羅部,通帙第179Mu,179,179,3611,3611,,,236a3-236a6,,,Grags-pa rgyal-mtshan,,慈成就法,Maitreyasādhana,Byams-paḥi sgrub-thabs,བྱམས་པའི་སྒྲུབ་ཐབས།,,,,,,,,
3612,4149,怛特羅部,通帙第179Mu,179,179,3612,3612,,,236a6-236b2,,,Grags-pa rgyal-mtshan,,慈成就法,Maitreyasādhana,Byams-paḥi sgrub-thabs,བྱམས་པའི་སྒྲུབ་ཐབས།,,,,,,,,
3613,4150,怛特羅部,通帙第179Mu,179,179,3613,3613,,,236b3-238a6,Ḥjigs med ḥbyuṅ-gnas sbas-pa,,Grags-pa rgyal-mtshan,,忿怒歡喜閻婆羅成就法,Ucchuṣmajambhalasādhana,Khro-shiṅ dgyes-pa dsaṁ-bha-laḥi sgrub-thabs,ཁྲོ་ཞིང་དགྱེས་པ་ཛཾ་བྷ་ལའི་སྒྲུབ་ཐབས།,,,,,,,,
3614,4151,怛特羅部,通帙第179Mu,179,179,3614,3614,,,238a6-238b7,,,Grags-pa rgyal-mtshan,,閻婆羅成就法,Jambhalasādhana,Dsaṁ-bha-laḥi sgrub-thabs,ཛཾ་བྷ་ལའི་སྒྲུབ་ཐབས།,,,,,,,,
3615,4152,怛特羅部,通帙第179Mu,179,179,3615,3615,,,238b7-239a3,,,Grags-pa rgyal-mtshan,,閻婆羅成就法,Jambhalasādhana,Dsaṁ-bha-laḥi sgrub-thabs,ཛཾ་བྷ་ལའི་སྒྲུབ་ཐབས།,,,,,,,,
3616,4153,怛特羅部,通帙第179Mu,179,179,3616,3616,,,239a3-239a7,Candragomin,,Grags-pa rgyal-mtshan,,吉祥閻婆羅成就法略攝,Saṁkṣiptaśrījambhalasādhana,Dpal dsaṁ-bha-laḥi sgrub-thabs mdor-bsdus-pa,དཔལ་ཛཾ་བྷ་ལའི་སྒྲུབ་ཐབས་མདོར་བསྡུས་པ།,,,,,,,,
3617,4154,怛特羅部,通帙第179Mu,179,179,3617,3617,,,239b1-239b5,,,Grags-pa rgyal-mtshan,,閻婆羅成就法略攝,Saṁkṣiptajambhalasādhana,Dsaṁ-bha-laḥi sgrub-thabs mdor-bsdus-pa,ཛཾ་བྷ་ལའི་སྒྲུབ་ཐབས་མདོར་བསྡུས་པ།,,,,,,,,
3618,4155,怛特羅部,通帙第179Mu,179,179,3618,3618,,,239b5-241b6,,,Grags-pa rgyal-mtshan,,閻婆羅成就法廣述,Vistarajambhalasādhana,Dsaṁ-bha-laḥi sgrub-thabs rgyas-pa,ཛཾ་བྷ་ལའི་སྒྲུབ་ཐབས་རྒྱས་པ།,,,,,,,,
3619,4156,怛特羅部,通帙第179Mu,179,179,3619,3619,,,241b6-242a4,,,Grags-pa rgyal-mtshan,,吉祥閻婆羅成就法,Śrī-jambhalasādhana,Dpal dsaṁ-bha-laḥi sgrub-thabs,དཔལ་ཛཾ་བྷ་ལའི་སྒྲུབ་ཐབས།,,,,,,,,
3620,4157,怛特羅部,通帙第179Mu,179,179,3620,3620,,,242a5-242b1,,,Grags-pa rgyal-mtshan,,閻婆羅水供養優波提舍,Dhārādānajambhalopadeśa,Dsaṁ-bha-la-la chu dbul-baḥi man-ṅag,ཛཾ་བྷ་ལ་ལ་ཆུ་དབུལ་བའི་མན་ངག།,,,,,,,,
3621,4158,怛特羅部,通帙第179Mu,179,179,3621,3621,,,242b2-243a6,Candragomin,,Grags-pa rgyal-mtshan,,馬頭成就法,Hayagrīvasādhana,Rta-mgrin-gyi sgrub-thabs,རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,,,,,,,,
3622,4159,怛特羅部,通帙第179Mu,179,179,3622,3622,,,242b2-243a6,,,Grags-pa rgyal-mtshan,,七百儀軌所說馬頭成就法,Saptaśatikakalpoktahayagrīvasādhana,Rtog-pa bdun-brgya-pa-las gsuṅs-paḥi rta-mgrin-gyi sgrub-thabs,རྟོག་པ་བདུན་བརྒྱ་པ་ལས་གསུངས་པའི་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས,,,,,,,,
3623,4160,怛特羅部,通帙第179Mu,179,179,3623,3623,,,243a6-244b4,Prabhākara,,Grags-pa rgyal-mtshan,,一切怛特羅後心髓馬頭成就法,Sarvatanhṛdayottarahayagrīvasādhana,Rgyud thams-cad-kyi sñiṅ-po phyi-maḥi rta-mgrin-gyi sgrub-thabs,རྒྱུད་ཐམས་ཅད་ཀྱི་སྙིང་པོ་ཕྱིན་མའི་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,,,,,,,,
3624,4161,怛特羅部,通帙第179Mu,179,179,3624,3624,,,244b4-245a1,,,Grags-pa rgyal-mtshan,,三世間中能勝成就法,Trailokyavijayasādhana,Ḥjig-rten gsum-las rnam-par rgyal-baḥi sgrub-thabs,འཇིག་རྟེན་གསུམ་ལས་རྣམ་པར་རྒྱལ་བའི་སྒྲུབ་ཐབས།,,,,,,,,
3625,4162,怛特羅部,通帙第179Mu,179,179,3625,3625,,,245a1-245a6,,,Grags-pa rgyal-mtshan,,金剛火日焰成就法,Vajrajvalānalārkasādhana,Rdo-rje me daṅ ñi-ma ḥbar-baḥi sgrub-thabs,རྡོ་རྗེ་མེ་དང་ཉི་མ་འབར་བའི་སྒྲུབ་ཐབས།,,,,,,,,
3626,4163,怛特羅部,通帙第179Mu,179,179,3626,3626,,,245a6-245b4,,,Grags-pa rgyal-mtshan,,最勝馬成就法,Paramāśvasādhana,Rta-mchog-gi sgrub-thabs,རྟ་མཆོག་གི་སྒྲུབ་ཐབས།,,,,,,,,
3627,4164,怛特羅部,通帙第179Mu,179,179,3627,3627,,,245b4-246a7,,,Grags-pa rgyal-mtshan,,聖紅閻魔敵成就法,Ārya-raktayamārisādhana,Ḥphags-pa gśin-rje-gśed dmar-poḥi sgrub-thabs,འཕགས་པ་གཤིན་རྗེ་གཤེད་དམར་པོའི་སྒྲུབ་ཐབས།,,,,,,,,
3628,4165,怛特羅部,通帙第179Mu,179,179,3628,3628,,,246a7-246b7,,,Grags-pa rgyal-mtshan,,黑閻魔敵成就法,Kṛṣṇayamārisādhana,Gśin-rje-gśed nag-poḥi sgrub-thabs,གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,,,,,,,,
3629,4166,怛特羅部,通帙第179Mu,179,179,3629,3629,,,246b7-247b4,,,Grags-pa rgyal-mtshan,,黑閻魔敵成就法,Kṛṣṇayamārisādhana,Gśin-gśed nag-poḥi sgrub-thabs,གཤིན་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,,,,,,,,
3630,4167,怛特羅部,通帙第179Mu,179,179,3630,3630,,,247b4-248a6,,,Grags-pa rgyal-mtshan,,黑閻魔敵成就法,Kṛṣṇayamārisādhana,Gśin-rje-dgra nag-poḥi sgrub-thabs,གཤིན་རྗེ་དགྲ་ནག་པོའི་སྒྲུབ་ཐབས།,,,,,,,,
3631,4168,怛特羅部,通帙第179Mu,179,179,3631,3631,,,248a6-248b7,,,Grags-pa rgyal-mtshan,,閻曼德迦成就法,Yamāntakasādhana,Gśin-rje-mthar-byed-kyi sgrub-thabs,གཤིན་རྗེ་མཐར་བྱེད་ཀྱི་སྒྲུབ་ཐབས།,,,,,,,,
3632,4169,怛特羅部,通帙第179Mu,179,179,3632,3632,,,248b7-249b6,,,Grags-pa rgyal-mtshan,,閻曼德迦成就法,Yamāntakasādhana,Gśin-rje-mthar-byed-kyi sgrub-thabs,གཤིན་རྗེ་མཐར་བྱེད་ཀྱི་སྒྲུབ་ཐབས།,,,,,,,,
3633,4170,怛特羅部,通帙第179Mu,179,179,3633,3633,,,249b7-250a7,,,Grags-pa rgyal-mtshan,,障害作盡成就法,Vighnāntakasādhana,Bgegs mthar-byed-kyi sgrub-thabs,བགེགས་མཐར་བྱེད་ཀྱི་སྒྲུབ་ཐབས།,,,,,,,,
3634,4171,怛特羅部,通帙第179Mu,179,179,3634,3634,,,250a7-250b3,,,Grags-pa rgyal-mtshan,,金剛吽音成就法,Vajrahūṁkārasādhana,Rdo-rje hūṁ mdsad-kyi sgrub-thabs,རྡོ་རྗེ་ཧཱུཾ་མཛད་ཀྱི་སྒྲུབ་ཐབས།,,,,,,,,
3635,4172,怛特羅部,通帙第179Mu,179,179,3635,3635,,,250b3-250b6,,,Grags-pa rgyal-mtshan,,大力成就法,Mahābalasādhana,Stobs-po cheḥi sgrub-thabs,སྟོབས་པོ་ཆེའི་སྒྲུབ་ཐབས།,,,,,,,,
3636,4173,怛特羅部,通帙第179Mu,179,179,3636,3636,,,250b6-251a3,Śākya bśes-gñen,Nanda,,Sgra bag tsan,聖忿怒大力成就法,Ārya-krodhamahābalasādhana,Ḥphags-pa khro-bo stobs-po-cheḥi sgrub-thabs,འཕགས་པ་ཁྲོ་བོ་སྟོབས་པོ་ཆེའི་སྒྲུབ་ཐབས།,,,,,,,,
3637,4174,怛特羅部,通帙第179Mu,179,179,3637,3637,,,251a3-251a6,,,,,呬嚕迦成就法,Herukasādhana,He-ru-kaḥi sgrub-thabs,ཧེ་རུ་ཀའི་སྒྲུབ་ཐབས།,,,,,,,,
3638,4175,怛特羅部,通帙第179Mu,179,179,3638,3638,,,251a6-252b5,Tārāśrī,,,,二臂喜金剛成就法,Dvibhujahevajrasādhana,Dgyes-paḥi rdo-rje phyag-gñis-paḥi sgrub-thabs,དགྱེས་པའི་རྡོ་རྗེ་ཕྱག་གཉིས་པའི་སྒྲུབ་ཐབས།,,,,,,,,
3639,4176,怛特羅部,通帙第179Mu,179,179,3639,3639,,,252b6-253a2,,,,,一無我母成就法,Kevalanairātmyāsādhana,Bdag med-ma rkyaṅ-paḥi sgrub-thabs,བདག་མེད་མ་རྐྱང་པའི་སྒྲུབ་ཐབས།,,,,,,,,
3640,4177,怛特羅部,通帙第179Mu,179,179,3640,3640,,,253a2-253a6,,,,,無我母成就法,Nairātmyāsādhana,Bdag-med-maḥi sgrub-thabs,བདག་མེད་མའི་སྒྲུབ་ཐབས།,,,,,,,,
3641,4178,怛特羅部,通帙第179Mu,179,179,3641,3641,,,253a6-254a4,,,,,吉祥部多調伏成就法略攝,Śrī-bhūtaḍāmarasaṁkṣiptasādhana,Dpal ḥbyuṅ-po ḥdul-byed-kyi sgrub-thabs mdor-bsdus-pa,དཔལ་འབྱུང་པོ་འདུལ་བྱེད་ཀྱི་སྒྲུབ་ཐབས་མདོར་བསྡུས་པ།,,,,,,,,
3642,4179,怛特羅部,通帙第179Mu,179,179,3642,3642,,,254a4-256a5,Ḥjig-rten-gsum-gyi rdo-rje,,,,部多調伏成就法儀軌,Bhūtaḍāmarasādhanavidhi,Ḥbyuṅ-po ḥdul-byed sgrub-thabs-kyi cho-ga,འབྱུང་པོ་འདུལ་བྱེད་སྒྲུབ་ཐབས་ཀྱི་ཆོ་ག།,,,,,,,,
3643,4180,怛特羅部,通帙第179Mu,179,179,3643,3643,,,256a5-256b5,,,,,吉祥大黑天成就法,Śrīmanmahākālasādhana,Dpal-ldan nag-po chen-poḥi sgrub-thabs,དཔལ་ལྡན་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས།,,,,,,,,
3644,4181,怛特羅部,通帙第179Mu,179,179,3644,3644,,,256b5-257b6,,,,,大黑天成就法,Mahākālasādhana,Nag-po chen-poḥi sgrub-thabs,ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས།,,,,,,,,
3645,4182,怛特羅部,通帙第179Mu,179,179,3645,3645,,,256b7-259a6,Klu-sgrub,Dīpaṁkaraśrījñāna,Rin-chen bzaṅ-po,,龍自在王成就法,Nāgeśvarājasādhana,Kluḥi dbaṅ-phyug rgyal-poḥi sgrub-thabs,ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,,,,,,,,
3646,4183,怛特羅部,通帙第179Mu,179,179,3646,3646,,,259a6-260b1,Padma,,,,百字儀軌,,Yig brgyaḥi cho-ga,ཡིག་བརྒྱའི་ཆོ་ག།,,,,,,,,
3647,4184,怛特羅部,通帙第179Mu,179,179,3647,3647,,,260b1-260b5,Śākyaśrī bzaṅ-po,,Byams-pa dpal,,聖慈成就法,Ārya-maitreyasādhana,Ḥphags-pa byams-paḥi sgrub-thabs,འཕགས་པ་བྱམས་པའི་སྒྲུབ་ཐབས།,,,,,,,,
3648,4185,怛特羅部,通帙第179Mu,179,179,3648,3648,,,260b5-261b2,Thogs-med,Jo-bo chen-po,Ston-pa,Buddhaśrī、Gnub lo-tsā-ba,聖慈成就法,Ārya-maitreyasādhana,Ḥphags-pa byams-paḥi sgrub-thabs,འཕགས་པ་བྱམས་པའི་སྒྲུབ་ཐབས།,,,,,,,,
3649,4186,怛特羅部,通帙第179Mu,179,179,3649,3649,,,261b2-262a3,Nairiti-pa,,Byams-paḥi dpal,,吉祥無能勝尊成就法,Śrī-ajitanāthasādhana,Dpal mi-pham mgon-poḥi sgrub-thabs shes-bya-ba,དཔལ་མི་ཕམ་མགོན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,,,,,,,,
3650,4187,怛特羅部,通帙第179Mu,179,179,3650,3650,,,262a3-262b3,Dri-ma med-paḥi lha,,,,獅子吼成就法,Siṁhanādasādhana,Seṅ-geḥi sgraḥi sgrub-thabs,སེང་གེའི་སྒྲའི་སྒྲུབ་ཐབས།,,,,,,,,
3651,4188,怛特羅部,通帙第179Mu,179,179,3651,3651,,,262b3-263a1,Dri-ma med-paḥi lha,,,,聖空行世間尊成就法,Ārya-khasarpaṇalokanāthasādhana,Ḥphags-pa kha-sa-rpa-ṇa ḥjig-rten mgon-poḥi sgrub-thabs,འཕགས་པ་ཁ་ས་རྤ་ཎ་འཇིག་རྟེན་མགོན་པོའི་སྒྲུབ་ཐབས།,,,,,,,,
3652,4189,怛特羅部,通帙第179Mu,179,179,3652,3652,,,263a1-263a4,Dri-ma med-paḥi lha,,,,多羅天女成就法,Tarādevīsādhana,Lha-mo sgrol-maḥi sgrub-thabs,ལྷ་མོ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,,,,,,,,
3653,4190,怛特羅部,通帙第179Mu,179,179,3653,3653,,,263a4-263b1,Dri-ma med-paḥi lha,,,,薄伽梵母般若波羅蜜多成就法,Bhagavatīprajñāparāmitāsādhana,Bcom-ldan-ḥdas yum śes-rab-kyi-pha-rol-tu phyin-maḥi sgrub-thabs,བཅོམ་ལྡན་འདས་ཡུམ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་སྒྲུབ་ཐབས།,,,,,,,,
3654,4191,怛特羅部,通帙第179Mu,179,179,3654,3654,,,263b1-263b4,Dri-ma med-paḥi lha,,,,大王遊戲文殊瞿沙成就法,Mañjughoṣamahārājalīlāsādhana,Rgyal-po chen-po rol-paḥi ḥjam-paḥi dbyaṅs-kyi sgrub-thabs,རྒྱལ་པོ་ཆེན་པོ་རོལ་པའི་འཇམ་པའི་དབྱངས་ཀྱི་སྒྲུབ་ཐབས།,,,,,,,,
3655,4192,怛特羅部,通帙第179Mu,179,179,3655,3655,,,293b4-264a1,Dri-ma med-paḥi lha,,,,聖閻魔敵成就法,Ārya-yamāntakasādhana,Ḥphags-pa gśin-rje-gśed-kyi sgrub-paḥi thabs,འཕགས་པ་གཤིན་རྗེ་གཤེད་ཀྱི་སྒྲུབ་པའི་ཐབས།,,,,,,,,
3656,4193,怛特羅部,通帙第179Mu,179,179,3656,3656,,,264a1-264a4,Dri-ma med-paḥi lha,,,,持世天女成就法,Vasudhārāsādhana,Lha-mo nor-gyi-rgyun-gyi sgrub-paḥi thabs,ལྷ་མོ་ནོར་གྱི་རྒྱུན་གྱི་སྒྲུབ་པའི་ཐབས།,,,,,,,,
3657,4194,怛特羅部,通帙第179Mu,179,179,3657,3657,,,264a5-264b1,Dri-ma med-paḥi lha,,,,拘留拘麗成就法,Kurukullesādhana,Ku-ru-kulleḥi sgrub-thabs,ཀུ་རུ་ཀུལླེའི་སྒྲུབ་ཐབས།,,,,,,,,
3658,4195,怛特羅部,通帙第179Mu,179,179,3658,3658,,,264b1-264b5,Dri-ma med-paḥi lha,,,,閻婆羅成就法,Jambhalasādhana,Gnod gnas-kyi sgrub-paḥi thabs,གནོད་གནས་ཀྱི་སྒྲུབ་པའི་ཐབས།,,,,,,,,
3659,4196,怛特羅部,通帙第179Mu,179,179,3659,3659,,,264b6-265a1,Dri-ma med-paḥi lha,,,,忿怒成就法,Bhṛkuṭīsādhana,Khro-gñer-can-gyi sgrub-paḥi thabs,ཁྲོ་གཉེར་ཅན་གྱི་སྒྲུབ་པའི་ཐབས།,,,,,,,,
3660,4197,怛特羅部,通帙第179Mu,179,179,3660,3660,,,265a1-265a7,Dri-ma med-paḥi lha,,,,摩利支天女成就法,Mārīcīdevīsādhana,Lha-mo ḥod-zer-can-gyi sgrub-thabs,ལྷ་མོ་འོད་ཟེར་ཅན་གྱི་སྒྲུབ་ཐབས།,,,,,,,,
3661,4198,怛特羅部,通帙第179Mu,179,179,3661,3661,,,265a7-267a2,Kun-dgaḥ sñiṅ-po,,Rin-chen bzaṅ-po,,摩利支天女成就法,Mārīcīdevīsādhana,Lha-mo ḥod-zer-can-gyi sgrub-thabs,ལྷ་མོ་འོད་ཟེར་ཅན་གྱི་སྒྲུབ་ཐབས།,,,,,,,,
3662,4199,怛特羅部,通帙第179Mu,179,179,3662,3662,,,267a2-267a6,Mya-ṅan-med-paḥi dpal,,,,聖摩利支天女成就法,Ārya-mārīcīsādhana-nāma,Ḥphags-ma ḥod-zer-can-gyi sgrub-paḥi thabs shes-bya-ba,འཕགས་མ་འོད་ཟེར་ཅན་གྱི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།,,,,,,,,
3663,4200,怛特羅部,通帙第179Mu,179,179,3663,3663,,,267a6-267b3,Jetari dgra-las rnam-par rgyal-ba,Sumatikīrti,Mar-pa chos-kyi dbaṅ-phyug,,金剛索成就法,Vajraśriṅkhalāsādhana,Rdo-rje lu-gu rgyud-kyi sgrub-thabs,རྡོ་རྗེ་ལུ་གུ་རྒྱུད་ཀྱི་སྒྲུབ་ཐབས།,,,,,,,,
3664,4201,怛特羅部,通帙第179Mu,179,179,3664,3664,,,267b3-268b3,Klu-sgrub,,Rnam-par-snaṅ-mdsad rdo-rje,,羯地羅林多羅母成就法,Khadiravaṇītārāsādhana,Seṅ-ldeṅ nags-kyi sgrol-maḥi sgrub-thabs,སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,,,,,,,,
3665,4202,怛特羅部,通帙第179Mu,179,179,3665,3665,,,268b3-278a7,Candragomin,Dīpaṁkaraśrījñāna,Tshul-khrims rgyal-ba,Dānaśīla、Blo-gros grags-pa,成就法百八,Aṣṭaśatasādhana,Sgrub-thabs brgya daṅ brgyad-pa,སྒྲུབ་ཐབས་བརྒྱ་དང་བརྒྱད་པ།,,,,,,,,
3666,4203,怛特羅部,通帙第179Mu,179,179,3666,3666,,,278a7-279a2,Candragomin,Ratnarakṣita,Shaṅ-grub,,命增長儀軌,Āryurvardhanīvidhi,Tshe ḥphel-baḥi cho-ga,ཚེ་འཕེལ་བའི་ཆོ་ག།,,,,,,,,
3667,4204,怛特羅部,通帙第179Mu,179,179,3667,3667,,,279a2-281a5,Candragomin,Rgyal-baḥi sñan,Ñi-ma rgyal-mtshan,,吉祥大多羅母讚,Śrī-mahātārāstotra-nāma,Dpal chen-mo sgrol-maḥi bstod-pa shes-bya-ba,དཔལ་ཆེན་མོ་སྒྲོལ་མའི་བསྟོད་པ་ཞེས་བྱ་བ།,,,,,,,,
3668,4205,怛特羅部,通帙第179Mu,179,179,3668,3668,,,281a5-281b5,,,,,聖多羅母讚十二偈,Ārya-tārāstotradvādaśagāthā,Ḥphags-ma sgrol-ma-la bstod-pa tshigs-su-bcad-pa bcu-gñis-pa,འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ་ཚིགས་སུ་བཅད་པ་བཅུ་གཉིས་པ།,,,,,,,,
3669,4206,怛特羅部,通帙第179Mu,179,179,3669,3669,,,281b5-282a7,,,,,聖多羅母讚妙業成就法,Ārya-tārāstotrakarmasādhana-nāma,Ḥphags-ma sgrol-maḥi bstod-pa phrin-las sgrub-pa shes-bya-ba,འཕགས་མ་སྒྲོལ་མའི་བསྟོད་པ་ཕྲིན་ལས་སྒྲུབ་པ་ཞེས་བྱ་བ།,,,,,,,,
3670,4207,怛特羅部,通帙第179Mu,179,179,3670,3670,,,282a7-284a4,Candragomin,,,,聖多母羅天女讚華鬘,Ārya-tārādevīstotrapuṣpamāla-nāma,Ḥphags-ma lha-mo sgrol-ma-la bstod-pa me-tog phreṅ-ba shes-bya-ba,འཕགས་མ་ལྷ་མོ་སྒྲོལ་མ་ལ་བསྟོད་པ་མེ་ཏོག་ཕྲེང་བ་ཞེས་བྱ་བ།,,,,,,,,
3671,4208,怛特羅部,通帙第179Mu,179,179,3671,3671,,,284a4-284b5,Candragomin,,,,聖母多羅天女讚,Ārya-tārādevīstotra-nāma,Ḥphags-pa lha-mo sgrol-ma-la bstod-pa shes-bya-ba,འཕགས་པ་ལྷ་མོ་སྒྲོལ་མ་ལ་བསྟོད་པ་ཞེས་བྱ་བ།,,,,,,,,
3672,4209,怛特羅部,通帙第179Mu,179,179,3672,3672,,,284b5-286a7,Candragomin,Dīpaṁkaraśrījñāna,Tshul-khrims rgyal-ba,Dānaśīla、Mar-gyo blo-gras grags-pa,聖多羅母八難救脫成就法,Ārya-tārāṣṭabhayatrāta-nāma-sādhana,Ḥphags-ma sgrol-ma ḥjigs-pa brgyad-las skyob-pa shes-bya-baḥi sgrub-thabs,འཕགས་མ་སྒྲོལ་མ་འཇིགས་པ་བརྒྱད་ལས་སྐྱོབ་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།,,,,,,,,
3673,4210,怛特羅部,通帙第179Mu,179,179,3673,3673,,,286a7-287a2,,Don-yod rdo-rje,Ba-ri,,白多羅母成就法,Sitatārāsādhana,Sgrol-ma dkar-moḥi sgrub-thabs,སྒྲོལ་མ་དཀར་མོའི་སྒྲུབ་ཐབས།,,,,,,,,
